id,question,instructor_answer,student_answer,score_grader_1,score_grader_2,score_avg
E08.Q05.A00,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","List based is preferred because it is not constrained to a fix size.  The down fall is that it takes up more memory because each node has at least two parts, the item and the pointer.",5.0,5.0,5.0
E08.Q05.A01,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",List based is preferred because the stack you create is not limited in size and can increase or decrease in size as needed.,5.0,5.0,5.0
E08.Q05.A02,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","Array-based prevents the push operation  from adding an item to the stack if the stack's size limit, which is the size of the array, has been reached.  List-base much simpler to write and does not have a fixed size.",5.0,5.0,5.0
E08.Q05.A03,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","Array based because they are faster, easier to keep track of and less complexity in code.",2.0,3.0,2.5
E08.Q05.A04,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",list-based because it does not use a fixed size like an array would.,5.0,5.0,5.0
E08.Q05.A05,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",usually linked list because it doesn't have a fixed size. But if you know or want to set a max size array is better.,5.0,5.0,5.0
E08.Q05.A06,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",List-based.  Allows more flexablity with size of the stack.,5.0,5.0,5.0
E08.Q05.A07,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",Linked lists are preferred for implementing stacks because they are not limited to a set number of elements.,5.0,5.0,5.0
E08.Q05.A08,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",The list-based implementation is preferred since the big O(1) is very efficient.,5.0,1.0,3.0
E08.Q05.A09,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","Linked list implementation is preferred. That way, the list can be moved along without iteration.",5.0,1.0,3.0
E08.Q05.A10,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",list because it its size is not determined,5.0,5.0,5.0
E08.Q05.A11,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",Linked list because it takes up less memory and is scalable,5.0,1.0,3.0
E08.Q05.A12,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","List-based, as the list can be grown dynamically, and as the head node is easily accessible.",5.0,5.0,5.0
E08.Q05.A13,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",list based because the nodes are easier to work with and can be traversed easier,5.0,1.0,3.0
E08.Q05.A14,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","list based, because of the lower processing overhead and nearly unlimited space, due to linked list design.",5.0,5.0,5.0
E08.Q05.A15,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","list-based<br>It can grow and shrink dynamically, unlike the fixed size array.",5.0,5.0,5.0
E08.Q05.A16,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","list based because arrays can become full, lists can grow/shrink as needed",5.0,5.0,5.0
E08.Q05.A17,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",List-bases implentation is preferred. One of the main reasons is because of that the list has no fixed size.,5.0,5.0,5.0
E08.Q05.A18,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",Array is preferred.  Linked list implementation requires extra space to store pointers.  Space is allocated dynamically in the list-based which takes more time.,3.0,2.0,2.5
E08.Q05.A19,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",link list is preferred because it makes pushing elements easier because there is no limit other than memory to the number of elements,5.0,5.0,5.0
E08.Q05.A20,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","List-based implementation is much easier to implement, and allows the stack to scale as necessary. It is therefore the preferred implementation.",5.0,5.0,5.0
E08.Q05.A21,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",Array based implementation requires less memory than a list based.<br>inceasing the size of a  resizeable array can waste storage and time,3.0,4.0,3.5
E08.Q05.A22,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","in an array based stack you would need to pre-determine a size, where in a list you can increase or decrease the size however you want.",5.0,5.0,5.0
E08.Q05.A23,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",A list-based implementation is preferred because the list is more<br> flexible than a array.,5.0,5.0,5.0
E08.Q05.A24,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",i would think a list based would be better because you can change the pointers of the nodes to add or remove things from your stack,5.0,3.0,4.0
E08.Q05.A25,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)","list based, because it is much more flexible, easier to use, and doesnt need to have a max size defined when it is made.",5.0,5.0,5.0
E08.Q05.A26,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",array based list is preferred because it can hold any size as long as u specify it.,2.0,0.0,1.0
E09.Q05.A00,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","List based.  Because it is on the run time order of N, also it does not have a limited size like an array does",5.0,4.0,4.5
E09.Q05.A01,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",linked list based. because it doesn't store the items linearly in memory but instead as individual blocks.,5.0,5.0,5.0
E09.Q05.A02,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",List based is preferred because there are no size restrictions.,5.0,5.0,5.0
E09.Q05.A03,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","A list-based implementation would be preferred. The array is slightly more complicated, where you would need to keep track of both front and rear.",5.0,2.0,3.5
E09.Q05.A04,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",List-based. Array-based queues have a way to complicate things to an extent.,5.0,2.0,3.5
E09.Q05.A05,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","List-based. Less code, and no size limitation/declaration... which means it is also more efficient and versatile.",5.0,5.0,5.0
E09.Q05.A06,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based is prefered because it doesn't have a set size and insertion and deletion can be done very quickly of you keep pointers to first element and last.,5.0,5.0,5.0
E09.Q05.A07,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",List based is preferred because there are space issues with array based due to rightward drift.  The fix for rightward drift requires constant shifting of the queue data.,5.0,5.0,5.0
E09.Q05.A08,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","Similar to stacks, linked lists are preferable for queues because the size can be adjusted.",5.0,5.0,5.0
E09.Q05.A09,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",array-based is preferred because all you have to keep track of is the array itself and the count.,3.0,0.0,1.5
E09.Q05.A10,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list because its size is not defined,5.0,5.0,5.0
E09.Q05.A11,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","List-based, because when you enqueue (or dequeue depending upon your implementation) you would need to shift all elements to another space with an array, causing a horrid time complexity for large data sets, where as you can just modify the pointers in a list for a constant time complexity",5.0,4.0,4.5
E09.Q05.A12,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","queue's are best with lists, especially if the tail is kept track of, as the list can be dynamically grown without losing track of the head or tail.",5.0,5.0,5.0
E09.Q05.A13,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list based, its much simpler and the run time is better",5.0,3.0,4.0
E09.Q05.A14,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list based, because of the lessened memory usage initially, and the increased limits on how large the que can become.",5.0,5.0,5.0
E09.Q05.A15,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",List-based because it's not fixed size.,5.0,5.0,5.0
E09.Q05.A16,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list, its dynamic and no size needs to be declared",5.0,5.0,5.0
E09.Q05.A17,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list bases implementatoin is best because you use pointers to keep track of the front and back pointers. Easier to maintain, but uses more memory",5.0,5.0,5.0
E09.Q05.A18,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based.  It can dynamically grow and has fewer restrictions.,5.0,5.0,5.0
E09.Q05.A19,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based is preferred because memory allocation is not an issue,5.0,5.0,5.0
E09.Q05.A20,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","List based solutions are preferred, because they allow for queues of any size.",5.0,5.0,5.0
E09.Q05.A21,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","I think array based is batter, because of fixed size, but on other had list base is more flaxible. You do not have to worry about the size",3.0,5.0,4.0
E09.Q05.A22,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based because you dont need to shift the elements like you do in array based queues,5.0,3.0,4.0
E09.Q05.A23,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",List-based because memory isn't constricted.<br>,5.0,5.0,5.0
E09.Q05.A24,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list based because the array based has to have a fixed size, it cannot be added to or removed from as easily",5.0,5.0,5.0
E09.Q05.A25,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list-based array is easier and more scalable,5.0,5.0,5.0
E09.Q05.A26,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based becuase an arrary based has to have an arrary size and needs to be pre-defined and can't be changed dynamically.,5.0,5.0,5.0
E09.Q07.A00,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"A stack, some printing jobs might have a higher priority than others and they can be easily inserted at the front of the list or anywhere between.",2.0,1.0,1.5
E09.Q07.A01,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue otherwise some things would never be printed.,5.0,5.0,5.0
E09.Q07.A02,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,A queue is more appropriate for scheduling printing jobs because queues have first in first out behavior.,5.0,5.0,5.0
E09.Q07.A03,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"Queue, its better to be FIFO than LIFO(stack).",5.0,5.0,5.0
E09.Q07.A04,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,Queue of course!,5.0,5.0,5.0
E09.Q07.A05,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"Queue, the person who wanted to print first should be first served.",5.0,5.0,5.0
E09.Q07.A06,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,queue because it guarantees that job are executed in the order they come in.,5.0,5.0,5.0
E09.Q07.A07,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,queue,5.0,5.0,5.0
E09.Q07.A08,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,Queues would be preferable to stacks for use as scheduling print jobs because it would print jobs in the order that they were sent to the printer.,5.0,5.0,5.0
E09.Q07.A09,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue.,5.0,5.0,5.0
E09.Q07.A10,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,queue,5.0,5.0,5.0
E09.Q07.A11,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue,5.0,5.0,5.0
E09.Q07.A12,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"Queue's are more appropriate, as printers are usually first come, first serve.",5.0,5.0,5.0
E09.Q07.A13,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,queue,5.0,5.0,5.0
E09.Q07.A14,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"queue, because of the first in first out principles, and if it was a stack it would be last in last out,  because it could possibly not let the first item that was added get removed in a timely manner.",5.0,5.0,5.0
E09.Q07.A15,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,Queue<br>,5.0,5.0,5.0
E09.Q07.A16,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue,5.0,5.0,5.0
E09.Q07.A17,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,A Queue data structure is more appropriate for scheduling printing jobs at a printer. The first job sent to the printer is the first job printed.,5.0,5.0,5.0
E09.Q07.A18,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue.  It wouldn't be unfair for the first job to finish last.,5.0,5.0,5.0
E09.Q07.A19,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"a queue, because it takes the job that has waited the longest",5.0,5.0,5.0
E09.Q07.A20,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"A queue is more appropriate, because the clients which have waited the longest should be the first served.",5.0,5.0,5.0
E09.Q07.A21,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,Queue,5.0,5.0,5.0
E09.Q07.A22,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,a queue,5.0,5.0,5.0
E09.Q07.A23,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,Queue,5.0,5.0,5.0
E09.Q07.A24,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,i would say that a queue is better because the first thing you try to print should be the first one to come out of the printer  (FIFO),5.0,5.0,5.0
E09.Q07.A25,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"a queue, because you want the jobs to execute in the order that they are received",5.0,5.0,5.0
E09.Q07.A26,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,queue,5.0,5.0,5.0
E12.Q03.A00,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n), 2^(log n), n^2, n^3, n!",10.0,10.0,5.0
E12.Q03.A01,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n), n^2, n^3, 2^(log n), n!",8.0,8.0,4.0
E12.Q03.A02,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(logn) 2^(log n) n^2 n^3 n!,10.0,10.0,5.0
E12.Q03.A03,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n), 2^(log n), n^2, n^3, n!",10.0,10.0,5.0
E12.Q03.A04,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n) , 2^(log n) , n^2 , n^3, n!",10.0,10.0,5.0
E12.Q03.A05,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log(n)), n^2, n^3, 2^log(n), n!",8.5,8.0,4.125
E12.Q03.A06,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(logn)<br>2^(logn)<br>n!<br>n^3<br>n^2,6.0,2.0,2.0
E12.Q03.A07,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log n); 2^(log n); n!; n^2; n^3;,9.0,6.0,3.75
E12.Q03.A08,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"this goes from largest to smallest: n!, n^3, n^2, 2^(log n), log(log n)",10.0,10.0,5.0
E12.Q03.A09,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log n); 2^(log n); n^2; n^3; n!,10.0,10.0,5.0
E12.Q03.A10,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"2^(log n), log(log n), n!, n^2, n^3",7.0,0.0,1.75
E12.Q03.A11,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log n); n!; n^2;n^3;n^(log n),7.0,2.0,2.25
E12.Q03.A12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"From least to greatest:  log(log n), 2^(log n), n^2, n^3, n!",10.0,10.0,5.0
E12.Q03.A13,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n)<br>2^(log n), is just n<br>n^2<br>n^3<br>n!",10.0,10.0,5.0
E12.Q03.A14,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,2^(log n)<br>log(log n)<br>n^2<br>n^3<br>n!,8.0,8.0,4.0
E12.Q03.A15,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,from lowest to longest.<br>log(log n); 2^(log n); n!;  n^2;  n^3;,8.5,6.0,3.625
E12.Q03.A16,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log(n))<br>2^log(n)<br>n^2<br>n^3<br>n!,10.0,10.0,5.0
E12.Q03.A17,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(log n), 2^(log n), n^2, n^3, n!",10.0,10.0,5.0
